"journal_name","issn","e_issn","category","edition","total_citations","impact_factor_2023","jif_quartile","jci_2023","percent_oa_gold"
"Telecom","","2673-4001","TELECOMMUNICATIONS","('ESCI',)","210","2.1","Q3","0.53","100.00"
"BIOCHEMICAL GENETICS","0006-2928","1573-4927","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'GENETICS & HEREDITY')","('SCIE', 'SCIE')","1,903","2.1","('Q4', 'Q3')","0.52","7.17"
"Journal of Thoracic Disease","2072-1439","2077-6624","RESPIRATORY SYSTEM","('SCIE',)","15,684","2.1","Q3","0.52","97.85"
"STEROIDS","0039-128X","1878-5867","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'ENDOCRINOLOGY & METABOLISM')","('SCIE', 'SCIE')","5,894","2.1","('Q4', 'Q3')","0.52","12.58"
"STRUCTURAL CHEMISTRY","1040-0400","1572-9001","('CHEMISTRY, MULTIDISCIPLINARY', 'CHEMISTRY, PHYSICAL', 'CRYSTALLOGRAPHY')","('SCIE', 'SCIE', 'SCIE')","3,501","2.1","('Q3', 'Q3', 'Q2')","0.52","8.50"
"SWISS MEDICAL WEEKLY","1424-7860","1424-3997","MEDICINE, GENERAL & INTERNAL","('SCIE',)","3,979","2.1","Q2","0.52","96.09"
"BLOOD CELLS MOLECULES AND DISEASES","1079-9796","1096-0961","HEMATOLOGY","('SCIE',)","2,938","2.1","Q3","0.51","12.70"
"Comprehensive Psychoneuroendocrinology","2666-4976","2666-4976","('ENDOCRINOLOGY & METABOLISM', 'NEUROSCIENCES', 'PSYCHIATRY')","('ESCI', 'ESCI', 'ESCI')","293","2.1","('Q3', 'Q3', 'Q3')","0.51","95.45"
"EUROPEAN JOURNAL OF CANCER PREVENTION","0959-8278","1473-5709","ONCOLOGY","('SCIE',)","2,668","2.1","Q3","0.51","12.92"
"Gerontology and Geriatric Medicine","","2333-7214","GERIATRICS & GERONTOLOGY","('ESCI',)","1,246","2.1","Q3","0.51","91.13"
"JOURNAL OF BIOSCIENCES","0250-5991","0973-7138","BIOLOGY","('SCIE',)","3,635","2.1","Q2","0.51","2.46"
"JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM","1470-3203","1752-8976","PERIPHERAL VASCULAR DISEASE","('SCIE',)","896","2.1","Q3","0.51","100.00"
"Proceedings of the ACM on Measurement and Analysis of Computing Systems","","2476-1249","('COMPUTER SCIENCE, HARDWARE & ARCHITECTURE', 'COMPUTER SCIENCE, INFORMATION SYSTEMS')","('ESCI', 'ESCI')","728","2.1","('Q3', 'Q3')","0.51","2.07"
"EUROPEAN NEUROLOGY","0014-3022","1421-9913","('CLINICAL NEUROLOGY', 'NEUROSCIENCES')","('SCIE', 'SCIE')","3,451","2.1","('Q3', 'Q3')","0.50","20.12"
"International Journal for Computational Methods in Engineering Science & Mechanics","1550-2287","1550-2295","MECHANICS","('ESCI',)","530","2.1","Q3","0.50","0.87"
"Journal of Clinical and Translational Science","","2059-8661","MEDICINE, RESEARCH & EXPERIMENTAL","('ESCI',)","1,419","2.1","Q3","0.50","99.64"
"Journal of Macromolecular Science Part A-Pure and Applied Chemistry","1060-1325","1520-5738","POLYMER SCIENCE","('SCIE',)","2,970","2.1","Q3","0.50","0.00"
"JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME","0199-6231","1528-8986","('ENERGY & FUELS', 'ENGINEERING, MECHANICAL')","('SCIE', 'SCIE')","3,531","2.1","('Q3', 'Q2')","0.50","0.42"
"Tobacco Use Insights","1179-173X","1179-173X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('ESCI',)","238","2.1","Q3","0.50","94.20"
"Advances in Meteorology","1687-9309","1687-9317","METEOROLOGY & ATMOSPHERIC SCIENCES","('SCIE',)","2,971","2.1","Q3","0.49","98.73"
"AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY","1079-2082","1535-2900","PHARMACOLOGY & PHARMACY","('SCIE',)","6,317","2.1","Q3","0.49","10.97"
"Early Intervention in Psychiatry","1751-7885","1751-7893","PSYCHIATRY","('SCIE', 'SSCI')","3,196","2.1","Q3","0.49","32.21"
"Frontiers in Fungal Biology","","2673-6128","MYCOLOGY","('ESCI',)","327","2.1","Q3","0.49","100.00"
"INDIAN JOURNAL OF MICROBIOLOGY","0046-8991","0973-7715","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY', 'MICROBIOLOGY')","('SCIE', 'SCIE')","2,426","2.1","('Q3', 'Q3')","0.49","4.74"
"INTERNATIONAL JOURNAL OF PHOTOENERGY","1110-662X","1687-529X","('CHEMISTRY, PHYSICAL', 'ENERGY & FUELS', 'OPTICS', 'PHYSICS, ATOMIC, MOLECULAR & CHEMICAL')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","3,509","2.1","('Q3', 'Q3', 'Q2', 'Q2')","0.49","100.00"
"Journal of Earthquake and Tsunami","1793-4311","1793-7116","GEOCHEMISTRY & GEOPHYSICS","('SCIE',)","654","2.1","Q2","0.49","1.09"
"JOURNAL OF MOLECULAR EVOLUTION","0022-2844","1432-1432","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'EVOLUTIONARY BIOLOGY', 'GENETICS & HEREDITY')","('SCIE', 'SCIE', 'SCIE')","7,433","2.1","('Q4', 'Q3', 'Q3')","0.49","38.06"
"Journal of Sustainable Development of Energy Water and Environment Systems-JSDEWES","1848-9257","1848-9257","ENVIRONMENTAL SCIENCES","('ESCI',)","711","2.1","Q3","0.49","92.52"
"MICROBES AND ENVIRONMENTS","1342-6311","1347-4405","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY', 'MICROBIOLOGY')","('SCIE', 'SCIE')","2,322","2.1","('Q3', 'Q3')","0.49","99.24"
"Proteomics Clinical Applications","1862-8346","1862-8354","BIOCHEMICAL RESEARCH METHODS","('SCIE',)","2,229","2.1","Q3","0.49","20.75"
"SEED SCIENCE RESEARCH","0960-2585","1475-2735","PLANT SCIENCES","('SCIE',)","1,900","2.1","Q2","0.49","19.48"
"Sustainable Water Resources Management","2363-5037","2363-5045","WATER RESOURCES","('ESCI',)","1,892","2.1","Q3","0.49","6.16"
"SYMBIOSIS","0334-5114","1878-7665","MICROBIOLOGY","('SCIE',)","2,131","2.1","Q3","0.49","12.26"
"Trends in Psychiatry and Psychotherapy","2237-6089","2238-0019","PSYCHIATRY","('ESCI',)","800","2.1","Q3","0.49","81.67"
"Geriatrics","","2308-3417","GERIATRICS & GERONTOLOGY","('ESCI',)","1,410","2.1","Q3","0.48","99.46"
"LEUKEMIA RESEARCH","0145-2126","1873-5835","('HEMATOLOGY', 'ONCOLOGY')","('SCIE', 'SCIE')","5,338","2.1","('Q3', 'Q3')","0.48","16.61"
"NUTRITION IN CLINICAL PRACTICE","0884-5336","1941-2452","NUTRITION & DIETETICS","('SCIE',)","4,524","2.1","Q3","0.48","14.84"
"OXIDATION OF METALS","0030-770X","1573-4889","METALLURGY & METALLURGICAL ENGINEERING","('SCIE',)","4,123","2.1","Q2","0.48","23.73"
"SPE RESERVOIR EVALUATION & ENGINEERING","1094-6470","1930-0212","('ENERGY & FUELS', 'ENGINEERING, PETROLEUM', 'GEOSCIENCES, MULTIDISCIPLINARY')","('SCIE', 'SCIE', 'SCIE')","3,161","2.1","('Q3', 'Q2', 'Q3')","0.48","0.00"
"SYSTEMS & CONTROL LETTERS","0167-6911","1872-7956","('AUTOMATION & CONTROL SYSTEMS', 'OPERATIONS RESEARCH & MANAGEMENT SCIENCE')","('SCIE', 'SCIE')","8,337","2.1","('Q3', 'Q2')","0.48","25.21"
"Annals of Gastroenterology","1108-7471","1792-7463","GASTROENTEROLOGY & HEPATOLOGY","('ESCI',)","2,518","2.1","Q3","0.47","95.27"
"Clinical Endoscopy","2234-2400","2234-2443","GASTROENTEROLOGY & HEPATOLOGY","('ESCI',)","1,923","2.1","Q3","0.47","97.30"
"EURO Journal on Transportation and Logistics","2192-4376","2192-4384","('OPERATIONS RESEARCH & MANAGEMENT SCIENCE', 'TRANSPORTATION SCIENCE & TECHNOLOGY')","('ESCI', 'ESCI')","643","2.1","('Q2', 'Q3')","0.47","97.06"
"IEEE TRANSACTIONS ON MAGNETICS","0018-9464","1941-0069","('ENGINEERING, ELECTRICAL & ELECTRONIC', 'PHYSICS, APPLIED')","('SCIE', 'SCIE')","25,205","2.1","('Q3', 'Q3')","0.47","4.85"
"IEEE TRANSACTIONS ON NANOTECHNOLOGY","1536-125X","1941-0085","('ENGINEERING, ELECTRICAL & ELECTRONIC', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY', 'PHYSICS, APPLIED')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","3,675","2.1","('Q3', 'Q3', 'Q3', 'Q3')","0.47","8.41"
"International Journal of Applied Glass Science","2041-1286","2041-1294","MATERIALS SCIENCE, CERAMICS","('SCIE',)","1,337","2.1","Q2","0.47","23.38"
"JOURNAL OF FOOD PROTECTION","0362-028X","1944-9097","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY', 'FOOD SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE')","12,786","2.1","('Q3', 'Q3')","0.47","96.27"
"Lighting Research & Technology","1477-1535","1477-0938","('CONSTRUCTION & BUILDING TECHNOLOGY', 'OPTICS')","('SCIE', 'SCIE')","1,975","2.1","('Q2', 'Q2')","0.47","20.74"
"METROLOGIA","0026-1394","1681-7575","('INSTRUMENTS & INSTRUMENTATION', 'PHYSICS, APPLIED')","('SCIE', 'SCIE')","3,882","2.1","('Q2', 'Q3')","0.47","44.49"
"Universal Access in the Information Society","1615-5289","1615-5297","('COMPUTER SCIENCE, CYBERNETICS', 'ERGONOMICS')","('SCIE', 'SSCI')","2,073","2.1","('Q3', 'Q3')","0.47","34.97"
"Annals of Leisure Research","1174-5398","2159-6816","HOSPITALITY, LEISURE, SPORT & TOURISM","('ESCI',)","1,035","2.1","Q2","0.46","22.43"
"AQUA-Water Infrastructure Ecosystems and Society","2709-8028","2709-8036","('ENGINEERING, CIVIL', 'WATER RESOURCES')","('SCIE', 'SCIE')","483","2.1","('Q2', 'Q3')","0.46","96.57"
"BRAZILIAN JOURNAL OF MICROBIOLOGY","1517-8382","1678-4405","MICROBIOLOGY","('SCIE',)","6,655","2.1","Q3","0.46","4.89"
"Cardiovascular Diagnosis and Therapy","2223-3652","2223-3660","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","2,531","2.1","Q3","0.46","93.56"
"FLAVOUR AND FRAGRANCE JOURNAL","0882-5734","1099-1026","('CHEMISTRY, APPLIED', 'FOOD SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE')","3,614","2.1","('Q3', 'Q3')","0.46","8.93"
"International Journal of Interactive Design and Manufacturing - IJIDeM","1955-2513","1955-2505","ENGINEERING, MANUFACTURING","('ESCI',)","2,278","2.1","Q3","0.46","7.05"
"JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS","0269-4727","1365-2710","PHARMACOLOGY & PHARMACY","('SCIE',)","4,096","2.1","Q3","0.46","76.39"
"JOURNAL OF MOLECULAR MODELING","1610-2940","0948-5023","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'BIOPHYSICS', 'CHEMISTRY, MULTIDISCIPLINARY', 'COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","8,478","2.1","('Q4', 'Q3', 'Q3', 'Q3')","0.46","3.88"
"POLYMERS & POLYMER COMPOSITES","0967-3911","1478-2391","('MATERIALS SCIENCE, CHARACTERIZATION & TESTING', 'MATERIALS SCIENCE, COMPOSITES', 'POLYMER SCIENCE')","('SCIE', 'SCIE', 'SCIE')","2,359","2.1","('Q2', 'Q3', 'Q3')","0.46","47.98"
"ADVANCES IN STRUCTURAL ENGINEERING","1369-4332","2048-4011","('CONSTRUCTION & BUILDING TECHNOLOGY', 'ENGINEERING, CIVIL')","('SCIE', 'SCIE')","5,236","2.1","('Q2', 'Q2')","0.45","2.59"
"International Journal of Entrepreneurship and Innovation","1465-7503","2043-6882","BUSINESS","('ESCI',)","908","2.1","Q3","0.45","36.28"
"Journal of Advanced Dielectrics","2010-135X","2010-1368","PHYSICS, APPLIED","('ESCI',)","1,121","2.1","Q3","0.45","84.52"
"Journal of Entrepreneurship","0971-3557","0973-0745","BUSINESS","('ESCI',)","474","2.1","Q3","0.45","14.93"
"Vasa-European Journal of Vascular Medicine","0301-1526","1664-2872","PERIPHERAL VASCULAR DISEASE","('SCIE',)","1,135","2.1","Q3","0.45","15.65"
"Journal of Biochemistry","0021-924X","1756-2651","BIOCHEMISTRY & MOLECULAR BIOLOGY","('SCIE',)","7,237","2.1","Q4","0.44","10.13"
"JOURNAL OF EUKARYOTIC MICROBIOLOGY","1066-5234","1550-7408","MICROBIOLOGY","('SCIE',)","2,898","2.1","Q3","0.44","25.15"
"Journal of Indian Business Research","1755-4195","1755-4209","BUSINESS","('ESCI',)","550","2.1","Q3","0.44","0.00"
"ACM Journal on Emerging Technologies in Computing Systems","1550-4832","1550-4840","('COMPUTER SCIENCE, HARDWARE & ARCHITECTURE', 'ENGINEERING, ELECTRICAL & ELECTRONIC', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","979","2.1","('Q3', 'Q3', 'Q3')","0.43","0.61"
"International Journal of Particle Therapy","","2331-5180","('ONCOLOGY', 'RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING')","('ESCI', 'ESCI')","488","2.1","('Q3', 'Q2')","0.43","83.90"
"South Asian Journal of Business Studies","2398-628X","2398-6298","BUSINESS","('ESCI',)","561","2.1","Q3","0.43","0.00"
"ACTA CARDIOLOGICA","0001-5385","1784-973X","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","1,594","2.1","Q3","0.42","4.53"
"Clinical and Experimental Vaccine Research","2287-3651","2287-366X","IMMUNOLOGY","('ESCI',)","516","2.1","Q4","0.42","100.00"
"EARTH","","2673-4834","('ENVIRONMENTAL SCIENCES', 'GEOSCIENCES, MULTIDISCIPLINARY')","('ESCI', 'ESCI')","334","2.1","('Q3', 'Q3')","0.42","100.00"
"European Journal of Transport and Infrastructure Research","1567-7133","1567-7141","TRANSPORTATION","('SSCI',)","677","2.1","Q3","0.42","85.71"
"Stroke-Vascular and Interventional Neurology","2694-5746","2694-5746","('CLINICAL NEUROLOGY', 'PERIPHERAL VASCULAR DISEASE')","('ESCI', 'ESCI')","348","2.1","('Q3', 'Q3')","0.42","88.04"
"AIDS Research and Therapy","1742-6405","1742-6405","INFECTIOUS DISEASES","('SCIE',)","1,381","2.1","Q3","0.41","99.61"
"IEEE Canadian Journal of Electrical and Computer Engineering","","2694-1783","('COMPUTER SCIENCE, HARDWARE & ARCHITECTURE', 'ENGINEERING, ELECTRICAL & ELECTRONIC')","('SCIE', 'SCIE')","197","2.1","('Q3', 'Q3')","0.41","3.13"
"International Journal of Intelligent Robotics and Applications","2366-5971","2366-598X","ROBOTICS","('ESCI',)","538","2.1","Q3","0.41","10.49"
"International Journal of Protective Structures","2041-4196","2041-420X","ENGINEERING, CIVIL","('ESCI',)","804","2.1","Q2","0.41","20.79"
"Journal of Blood Medicine","1179-2736","1179-2736","HEMATOLOGY","('ESCI',)","1,083","2.1","Q3","0.41","97.96"
"Journal of Intelligent Systems","0334-1860","2191-026X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","('ESCI',)","916","2.1","Q3","0.41","97.18"
"Advances in Clinical and Experimental Medicine","1899-5276","2451-2680","MEDICINE, RESEARCH & EXPERIMENTAL","('SCIE',)","3,302","2.1","Q3","0.40","94.51"
"International Journal of Advanced Robotic Systems","1729-8814","1729-8814","ROBOTICS","('SCIE',)","4,209","2.1","Q3","0.40","90.38"
"Open Chemistry","2391-5420","2391-5420","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","2,080","2.1","Q3","0.40","97.97"
"Applied and Environmental Soil Science","1687-7667","1687-7675","SOIL SCIENCE","('ESCI',)","1,206","2.1","Q3","0.39","100.00"
"BioMedicine-Taiwan","2211-8020","2211-8039","MEDICINE, GENERAL & INTERNAL","('ESCI',)","871","2.1","Q2","0.39","96.51"
"Current Behavioral Neuroscience Reports","","2196-2979","('NEUROSCIENCES', 'PSYCHIATRY')","('ESCI', 'ESCI')","529","2.1","('Q3', 'Q3')","0.39","21.43"
"FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES","1536-383X","1536-4046","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY', 'PHYSICS, ATOMIC, MOLECULAR & CHEMICAL')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","2,427","2.1","('Q3', 'Q3', 'Q3', 'Q2')","0.39","0.79"
"JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS","0883-9115","1530-8030","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY', 'MATERIALS SCIENCE, BIOMATERIALS', 'POLYMER SCIENCE')","('SCIE', 'SCIE', 'SCIE')","1,085","2.1","('Q3', 'Q4', 'Q3')","0.39","0.00"
"ACTA AGROBOTANICA","0065-0951","2300-357X","PLANT SCIENCES","('ESCI',)","530","2.1","Q2","0.38","78.38"
"Advances in Building Energy Research","1751-2549","1756-2201","CONSTRUCTION & BUILDING TECHNOLOGY","('ESCI',)","568","2.1","Q2","0.38","14.86"
"COMPOSITE INTERFACES","0927-6440","1568-5543","MATERIALS SCIENCE, COMPOSITES","('SCIE',)","1,970","2.1","Q3","0.38","3.00"
"International Journal of Building Pathology and Adaptation","2398-4708","2398-4708","CONSTRUCTION & BUILDING TECHNOLOGY","('ESCI',)","765","2.1","Q2","0.38","9.26"
"Journal of African Business","1522-8916","1522-9076","BUSINESS","('ESCI',)","972","2.1","Q3","0.38","9.92"
"Journal of Gastrointestinal and Liver Diseases","1841-8724","1842-1121","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","1,624","2.1","Q3","0.38","96.23"
"Journal of the Egyptian National Cancer Institute","1110-0362","2589-0409","ONCOLOGY","('ESCI',)","671","2.1","Q3","0.38","99.28"
"SOLID STATE COMMUNICATIONS","0038-1098","1879-2766","PHYSICS, CONDENSED MATTER","('SCIE',)","15,228","2.1","Q3","0.38","4.50"
"Biofuels-UK","1759-7269","1759-7277","ENERGY & FUELS","('SCIE',)","1,962","2.1","Q3","0.37","4.32"
"CHEMICAL PAPERS","0366-6352","2585-7290","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","7,026","2.1","Q3","0.37","6.30"
"Frontiers in Soil Science","","2673-8619","SOIL SCIENCE","('ESCI',)","234","2.1","Q3","0.37","99.30"
"Journal of Sulfur Chemistry","1741-5993","1741-6000","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","1,115","2.1","Q3","0.37","2.74"
"Process Integration and Optimization for Sustainability","2509-4238","2509-4246","('ENERGY & FUELS', 'ENGINEERING, CHEMICAL', 'ENGINEERING, ENVIRONMENTAL', 'ENVIRONMENTAL SCIENCES', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY')","('ESCI', 'ESCI', 'ESCI', 'ESCI', 'ESCI')","556","2.1","('Q3', 'Q3', 'Q3', 'Q3', 'Q4')","0.37","9.40"
"Electronic Materials Letters","1738-8090","2093-6788","MATERIALS SCIENCE, MULTIDISCIPLINARY","('SCIE',)","1,678","2.1","Q3","0.36","3.33"
"Environmental Progress & Sustainable Energy","1944-7442","1944-7450","('ENGINEERING, CHEMICAL', 'ENGINEERING, ENVIRONMENTAL', 'ENVIRONMENTAL SCIENCES', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","5,023","2.1","('Q3', 'Q3', 'Q3', 'Q4')","0.36","2.11"
"Future Virology","1746-0794","1746-0808","VIROLOGY","('SCIE',)","1,247","2.1","Q3","0.36","10.76"
"IEEE TECHNOLOGY AND SOCIETY MAGAZINE","0278-0097","1937-416X","ENGINEERING, ELECTRICAL & ELECTRONIC","('SCIE',)","716","2.1","Q3","0.36","0.00"
"Journal of Organization Design","","2245-408X","('BUSINESS', 'MANAGEMENT')","('ESCI', 'ESCI')","517","2.1","('Q3', 'Q3')","0.36","55.77"
"JOURNAL OF PLASTIC FILM & SHEETING","8756-0879","1530-8014","MATERIALS SCIENCE, COATINGS & FILMS","('SCIE',)","680","2.1","Q3","0.36","4.84"
"JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION","1096-2247","2162-2906","('ENGINEERING, ENVIRONMENTAL', 'ENVIRONMENTAL SCIENCES', 'METEOROLOGY & ATMOSPHERIC SCIENCES')","('SCIE', 'SCIE', 'SCIE')","6,285","2.1","('Q3', 'Q3', 'Q3')","0.36","17.73"
"SUPRAMOLECULAR CHEMISTRY","1061-0278","1029-0478","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","1,556","2.1","Q3","0.36","9.64"
"CURRENT DRUG METABOLISM","1389-2002","1875-5453","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'PHARMACOLOGY & PHARMACY')","('SCIE', 'SCIE')","4,301","2.1","('Q4', 'Q3')","0.35","0.78"
"CUTIS","0011-4162","2326-6929","DERMATOLOGY","('SCIE',)","2,049","2.1","Q3","0.35","2.61"
"Intelligent Buildings International","1750-8975","1756-6932","CONSTRUCTION & BUILDING TECHNOLOGY","('ESCI',)","446","2.1","Q2","0.35","21.33"
"PLASTICS RUBBER AND COMPOSITES","1465-8011","1743-2898","('MATERIALS SCIENCE, COMPOSITES', 'POLYMER SCIENCE')","('SCIE', 'SCIE')","1,404","2.1","('Q3', 'Q3')","0.35","5.22"
"GOLD BULLETIN","2364-821X","2190-7579","('CHEMISTRY, INORGANIC & NUCLEAR', 'CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE', 'SCIE')","1,058","2.1","('Q3', 'Q3', 'Q3')","0.34","9.80"
"JOURNAL OF NANOPARTICLE RESEARCH","1388-0764","1572-896X","('CHEMISTRY, MULTIDISCIPLINARY', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","12,527","2.1","('Q3', 'Q3', 'Q3')","0.33","5.64"
"Current Stem Cell Research & Therapy","1574-888X","2212-3946","('CELL & TISSUE ENGINEERING', 'CELL BIOLOGY')","('SCIE', 'SCIE')","1,825","2.1","('Q4', 'Q4')","0.32","0.42"
"OZONE-SCIENCE & ENGINEERING","0191-9512","1547-6545","('ENGINEERING, ENVIRONMENTAL', 'ENVIRONMENTAL SCIENCES')","('SCIE', 'SCIE')","2,177","2.1","('Q3', 'Q3')","0.32","6.98"
"SURFACE SCIENCE","0039-6028","1879-2758","('CHEMISTRY, PHYSICAL', 'PHYSICS, CONDENSED MATTER')","('SCIE', 'SCIE')","15,801","2.1","('Q3', 'Q3')","0.32","20.54"
"Frontiers in Communications and Networks","","2673-530X","TELECOMMUNICATIONS","('ESCI',)","237","2.1","Q3","0.31","100.00"
"EUROPEAN JOURNAL OF HISTOCHEMISTRY","1121-760X","2038-8306","CELL BIOLOGY","('SCIE',)","1,282","2.1","Q4","0.30","92.81"
"International Journal of Endocrinology and Metabolism","1726-913X","1726-9148","ENDOCRINOLOGY & METABOLISM","('ESCI',)","1,116","2.1","Q3","0.30","100.00"
"Immuno","","2673-5601","IMMUNOLOGY","('ESCI',)","181","2.1","Q4","0.29","100.00"
"NUCLEUS-INDIA","0029-568X","0976-7975","CELL BIOLOGY","('ESCI',)","436","2.1","Q4","0.29","5.45"
"Chinese Clinical Oncology","2304-3865","2304-3873","ONCOLOGY","('ESCI',)","1,219","2.1","Q3","0.28","90.58"
"Energy Systems-Optimization Modeling Simulation and Economic Aspects","1868-3967","1868-3975","ENERGY & FUELS","('ESCI',)","901","2.1","Q3","0.28","19.26"
"Journal of Hazardous Toxic and Radioactive Waste","2153-5493","2153-5515","ENGINEERING, ENVIRONMENTAL","('ESCI',)","1,055","2.1","Q3","0.25","0.91"
"CATALYSIS SURVEYS FROM ASIA","1571-1013","1574-9266","CHEMISTRY, PHYSICAL","('SCIE',)","954","2.1","Q3","0.24","1.02"
"MACHINE TRANSLATION","0922-6567","1573-0573","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","('ESCI',)","332","2.1","Q3","0.24","26.47"
"PROGRESS IN REACTION KINETICS AND MECHANISM","1468-6783","1471-406X","CHEMISTRY, PHYSICAL","('SCIE',)","292","2.1","Q3","0.23","71.43"
"Geodesy and Cartography","2080-6736","2300-2581","REMOTE SENSING","('ESCI',)","210","2.1","Q3","0.07","90.00"
"MECHANICAL ENGINEERING","0025-6501","1943-5649","ENGINEERING, MECHANICAL","('SCIE',)","1,128","2.1","Q2","0.05","40.00"
"POETICS","0304-422X","1872-7514","('LITERATURE', 'SOCIOLOGY')","('AHCI', 'SSCI')","2,661","2.0","('N/A', 'Q2')","6.30","29.89"
"Heritage","2571-9408","2571-9408","('HUMANITIES, MULTIDISCIPLINARY', 'MULTIDISCIPLINARY SCIENCES')","('ESCI', 'ESCI')","1,806","2.0","('N/A', 'Q2')","4.46","99.66"
"CoDesign-International Journal of CoCreation in Design and the Arts","1571-0882","1745-3755","ART","('AHCI',)","1,068","2.0","","4.30","35.21"
"Phenomenology and the Cognitive Sciences","1568-7759","1572-8676","PHILOSOPHY","('AHCI',)","1,923","2.0","","3.53","54.98"
"JOURNAL OF BROADCASTING & ELECTRONIC MEDIA","0883-8151","1550-6878","COMMUNICATION","('SSCI',)","2,778","2.0","Q2","3.42","7.76"
"Journal of Financial Regulation","2053-4833","2053-4841","LAW","('ESCI',)","202","2.0","Q1","2.85","46.88"
"Journal of Conservation and Museum Studies","2049-4572","1364-0429","HUMANITIES, MULTIDISCIPLINARY","('ESCI',)","56","2.0","","2.73","100.00"
"International Journal of Heritage Studies","1352-7258","1470-3610","('HUMANITIES, MULTIDISCIPLINARY', 'SOCIAL SCIENCES, INTERDISCIPLINARY')","('AHCI', 'SSCI')","2,212","2.0","('N/A', 'Q1')","2.67","38.57"
"BULLETIN OF INDONESIAN ECONOMIC STUDIES","0007-4918","1472-7234","('AREA STUDIES', 'ECONOMICS')","('SSCI', 'SSCI')","613","2.0","('Q1', 'Q2')","2.38","17.50"
"JOURNAL OF CONTEMPORARY ASIA","0047-2336","1752-7554","AREA STUDIES","('SSCI',)","1,279","2.0","Q1","2.26","16.39"
"East European Politics","2159-9165","2159-9173","('AREA STUDIES', 'POLITICAL SCIENCE')","('SSCI', 'SSCI')","806","2.0","('Q1', 'Q2')","2.23","39.18"
"Campus Virtuales","2255-1514","2255-1514","EDUCATION & EDUCATIONAL RESEARCH","('ESCI',)","328","2.0","Q2","2.02","66.67"
"NORTHWESTERN UNIVERSITY LAW REVIEW","0029-3571","","LAW","('SSCI',)","1,411","2.0","Q1","1.98","0.00"
"RADIOCARBON","0033-8222","1945-5755","GEOCHEMISTRY & GEOPHYSICS","('SCIE',)","7,627","2.0","Q2","1.83","54.89"
"Journal of Mathematics and Computer Science-JMCS","2008-949X","2008-949X","MATHEMATICS","('ESCI',)","788","2.0","Q1","1.80","98.24"
"Ornithology","0004-8038","2732-4613","ORNITHOLOGY","('SCIE',)","317","2.0","Q1","1.79","12.88"
"BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY","0273-0979","1088-9485","MATHEMATICS","('SCIE',)","5,987","2.0","Q1","1.74","93.22"
