"","Rank","Title","Type","SJR","SJR.Best.Quartile","H.index","Total.Docs...2016.","Total.Docs...3years.","Total.Refs.","Total.Cites..3years.","Citable.Docs...3years.","Cites...Doc...2years.","Ref....Doc.","Country","Categories","ISSN","ISSN.1","ISSN.2"
"468",1928,"International Journal of Biological Sciences","journal",1.598,"Q1",60,138,360,8139,1548,353,4.22,58.98,"Canada","Applied Microbiology and Biotechnology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Cell Biology (Q2); Molecular Biology (Q2)","14492288","14492288",""
"469",1931,"Journal of the Academy of Nutrition and Dietetics","journal",1.597,"Q1",140,260,707,6732,1832,584,2.64,25.89,"United States","Food Science (Q1); Nutrition and Dietetics (Q1)","22122672","22122672",""
"470",1944,"Mechanisms of Ageing and Development","journal",1.592,"Q2",98,96,175,5968,575,171,3.37,62.17,"Netherlands","Aging (Q2); Developmental Biology (Q2)","00476374","00476374",""
"471",1945,"European Journal of Neurology","journal",1.592,"Q1",105,297,811,7665,2593,658,3.92,25.81,"United Kingdom","Neurology (Q1); Neurology (clinical) (Q1)","13515101; 14681331","13515101","14681331"
"472",1964,"Experimental Gerontology","journal",1.584,"Q1",115,211,659,9932,2294,623,3.5,47.07,"Netherlands","Biochemistry (Q1); Endocrinology (Q1); Aging (Q2); Cell Biology (Q2); Genetics (Q2); Molecular Biology (Q2)","05315565","05315565",""
"473",1979,"Journal of Trauma and Acute Care Surgery","journal",1.577,"Q1",155,455,1476,10276,3990,1222,3.11,22.58,"United States","Critical Care and Intensive Care Medicine (Q1); Surgery (Q1)","21630763; 21630755","21630763","21630755"
"474",1989,"International Review of Neurobiology","book serie",1.571,"Q1",66,72,205,8686,611,135,5.41,120.64,"United States","Neurology (clinical) (Q1); Cellular and Molecular Neuroscience (Q2)","00747742","00747742",""
"475",1990,"Stem Cells and Development","journal",1.571,"Q1",89,161,842,9401,3242,815,3.69,58.39,"United States","Hematology (Q1); Cell Biology (Q2); Developmental Biology (Q2)","15473287","15473287",""
"476",1999,"Autism Research","journal",1.567,"Q1",45,134,200,6744,652,188,3.16,50.33,"United States","Neurology (clinical) (Q1); Genetics (clinical) (Q2); Neuroscience (miscellaneous) (Q2)","19393792; 19393806","19393792","19393806"
"477",2016,"Clinical Pharmacokinetics","journal",1.56,"Q1",141,139,288,6804,1301,247,5.05,48.95,"United Kingdom","Pharmacology (Q1); Pharmacology (medical) (Q1)","03125963","03125963",""
"478",2018,"Respiratory Research","journal",1.56,"Q1",85,166,471,7085,1745,453,3.72,42.68,"United Kingdom","Pulmonary and Respiratory Medicine (Q1)","14659921; 1465993X","14659921","1465993X"
"479",2019,"BMC Infectious Diseases","journal",1.56,"Q1",74,760,2092,26307,6038,2049,2.63,34.61,"United Kingdom","Infectious Diseases (Q1)","14712334","14712334",""
"480",2028,"Parkinsonism and Related Disorders","journal",1.556,"Q1",74,364,996,9257,2996,714,4.24,25.43,"Netherlands","Geriatrics and Gerontology (Q1); Neurology (Q1); Neurology (clinical) (Q1)","13538020","13538020",""
"481",2033,"Molecular Nutrition and Food Research","journal",1.554,"Q1",98,294,695,12795,3013,648,4.39,43.52,"United Kingdom","Biotechnology (Q1); Food Science (Q1)","16134125","16134125",""
"482",2047,"Acta Physiologica","journal",1.547,"Q1",94,131,539,5195,1567,415,4.17,39.66,"United Kingdom","Physiology (Q1)","17481716; 17481708","17481716","17481708"
"483",2056,"Eukaryotic Cell","journal",1.543,"Q1",98,0,424,0,1260,413,2.93,0,"United States","Microbiology (Q1); Molecular Biology (Q2)","15359786; 15359778","15359786","15359778"
"484",2070,"Annals of Epidemiology","journal",1.536,"Q2",103,150,459,5370,1073,408,2.58,35.8,"Netherlands","Epidemiology (Q2)","10472797","10472797",""
"485",2071,"Nutrition, Metabolism and Cardiovascular Diseases","journal",1.536,"Q1",70,152,567,5703,1879,511,3.86,37.52,"Italy","Cardiology and Cardiovascular Medicine (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)","15903729; 09394753","15903729","09394753"
"486",2072,"Pharmaceuticals","journal",1.536,"Q1",34,77,172,6189,835,165,4.69,80.38,"Switzerland","Molecular Medicine (Q1); Pharmaceutical Science (Q1)","14248247","14248247",""
"487",2073,"Journal of Alzheimer's Disease","journal",1.536,"Q1",98,617,1786,33444,6443,1750,3.47,54.2,"Netherlands","Clinical Psychology (Q1); Geriatrics and Gerontology (Q1); Psychiatry and Mental Health (Q1)","13872877","13872877",""
"488",2080,"International Journal of Cardiology","journal",1.534,"Q1",98,2775,6870,62344,14431,3295,4.39,22.47,"Netherlands","Cardiology and Cardiovascular Medicine (Q1)","01675273","01675273",""
"489",2085,"Drugs","journal",1.534,"Q1",147,161,512,9721,2472,473,5.35,60.38,"United Kingdom","Pharmacology (medical) (Q1)","00126667","00126667",""
"490",2087,"Alcoholism: Clinical and Experimental Research","journal",1.533,"Q1",134,306,961,14408,2730,922,2.7,47.08,"United States","Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Toxicology (Q1)","15300277; 01456008","15300277","01456008"
"491",2090,"Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy","journal",1.531,"Q1",26,45,170,2511,697,166,4.22,55.8,"New Zealand","Internal Medicine (Q1); Pharmacology (Q1)","11787007","11787007",""
"492",2091,"CNS Neuroscience and Therapeutics","journal",1.531,"Q1",48,128,440,6031,1434,326,4.06,47.12,"United States","Pharmacology (Q1); Pharmacology (medical) (Q1); Physiology (medical) (Q1); Psychiatry and Mental Health (Q1)","17555949; 17555930","17555949","17555930"
"493",2094,"Journal of Hospital Medicine","journal",1.531,"Q1",40,0,146,0,383,126,2.23,0,"United States","Assessment and Diagnosis (Q1); Care Planning (Q1); Fundamentals and Skills (Q1); Health Policy (Q1); Leadership and Management (Q1)","15535592; 15535606","15535592","15535606"
"494",2095,"Toxicological Sciences","journal",1.53,"Q1",151,231,822,10742,3158,763,3.9,46.5,"United Kingdom","Toxicology (Q1)","10966080; 10960929","10966080","10960929"
"495",2101,"Methods in Enzymology","journal",1.528,"Q1",143,283,964,10006,1745,793,2.31,35.36,"United States","Biochemistry (Q1); Molecular Biology (Q2)","00766879","00766879",""
"496",2109,"Brain Imaging and Behavior","journal",1.524,"Q1",32,287,190,6886,596,181,3.05,23.99,"United States","Behavioral Neuroscience (Q1); Neurology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Cellular and Molecular Neuroscience (Q2); Cognitive Neuroscience (Q2)","19317557; 19317565","19317557","19317565"
"497",2111,"Molecular Immunology","journal",1.523,"Q2",103,218,854,9658,2704,808,3.32,44.3,"United Kingdom","Immunology (Q2); Molecular Biology (Q2)","01615890","01615890",""
"498",2120,"Obesity Surgery","journal",1.522,"Q1",119,540,1033,13354,3307,850,3.44,24.73,"Canada","Endocrinology, Diabetes and Metabolism (Q1); Nutrition and Dietetics (Q1); Surgery (Q1)","09608923","09608923",""
"499",2123,"Frontiers in Neurology","journal",1.521,"Q1",35,243,735,13099,2399,680,3.44,53.91,"Switzerland","Neurology (clinical) (Q1); Neurology (Q2)","16642295","16642295",""
"500",2124,"Tissue Barriers","journal",1.521,"Q1",11,35,64,2893,201,56,3.5,82.66,"United Kingdom","Biochemistry (Q1); Histology (Q1); Cell Biology (Q2)","21688362; 21688370","21688362","21688370"
"501",2136,"Molecular Pharmaceutics","journal",1.513,"Q1",96,408,1324,19144,6322,1302,4.7,46.92,"United States","Drug Discovery (Q1); Molecular Medicine (Q1); Pharmaceutical Science (Q1)","15438392; 15438384","15438392","15438384"
"502",2139,"Gerontology","journal",1.511,"Q1",72,80,228,3105,781,205,3.7,38.81,"Switzerland","Geriatrics and Gerontology (Q1); Aging (Q2)","14230003; 0304324X","14230003","0304324X"
"503",2140,"Proceedings of the Nutrition Society","journal",1.511,"Q1",103,72,193,4365,755,188,3.5,60.63,"United Kingdom","Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)","00296651; 14752719","00296651","14752719"
"504",2144,"Behavioural Brain Research","journal",1.51,"Q1",144,671,1948,34288,6100,1919,3.09,51.1,"Netherlands","Behavioral Neuroscience (Q1)","01664328","01664328",""
"505",2145,"Transplantation","journal",1.51,"Q1",186,567,1536,16788,4077,1128,3.25,29.61,"United States","Transplantation (Q1)","00411337","00411337",""
"506",2146,"Critical Reviews in Food Science and Nutrition","journal",1.509,"Q1",119,182,349,21613,1609,341,4.43,118.75,"United Kingdom","Food Science (Q1); Industrial and Manufacturing Engineering (Q1)","15497852; 10408398","15497852","10408398"
"507",2154,"International Reviews of Immunology","journal",1.506,"Q1",58,33,115,3232,378,107,2.73,97.94,"United Kingdom","Immunology and Allergy (Q1); Immunology (Q2)","08830185","08830185",""
"508",2160,"American Journal of Tropical Medicine and Hygiene","journal",1.505,"Q1",126,514,1382,15558,3533,1288,2.59,30.27,"United States","Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Parasitology (Q1); Virology (Q2)","00029637","00029637",""
"509",2161,"British Journal of Nutrition","journal",1.504,"Q1",151,418,1592,18403,5423,1490,3.59,44.03,"United Kingdom","Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)","00071145; 14752662","00071145","14752662"
"510",2163,"ACS Chemical Neuroscience","journal",1.504,"Q1",41,193,531,9188,1954,508,3.58,47.61,"United States","Biochemistry (Q1); Physiology (Q1); Cell Biology (Q2); Cognitive Neuroscience (Q2)","19487193","19487193",""
"511",2176,"Neural Plasticity","journal",1.502,"Q1",46,362,282,26538,903,266,3.02,73.31,"Egypt","Neurology (clinical) (Q1); Neurology (Q2)","20905904; 07928483, 16875443","20905904","07928483, 16875443"
"512",2178,"Pflugers Archiv European Journal of Physiology","journal",1.5,"Q1",113,172,592,10417,1644,539,2.9,60.56,"Germany","Clinical Biochemistry (Q1); Physiology (Q1); Physiology (medical) (Q1)","00316768; 14322013","00316768","14322013"
"513",2187,"Infection and Drug Resistance","journal",1.493,"Q1",21,35,101,1683,421,101,4.59,48.09,"New Zealand","Infectious Diseases (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)","11786973","11786973",""
"514",2188,"Proteomics","journal",1.492,"Q1",143,322,1023,15605,3906,953,3.89,48.46,"United Kingdom","Biochemistry (Q1); Molecular Biology (Q2)","16159853; 16159861","16159853","16159861"
"515",2205,"Pediatric Infectious Disease Journal","journal",1.486,"Q1",127,463,1402,9683,2791,1073,2.46,20.91,"United States","Infectious Diseases (Q1); Microbiology (medical) (Q1); Pediatrics, Perinatology and Child Health (Q1)","08913668","08913668",""
"516",2208,"Annals of the American Thoracic Society","journal",1.485,"Q1",90,490,953,14922,2402,714,3.34,30.45,"United States","Pulmonary and Respiratory Medicine (Q1)","23256621","23256621",""
"517",2209,"Journal of Applied Physiology","journal",1.485,"Q1",195,384,1323,16208,3518,1071,3.18,42.21,"United States","Medicine (miscellaneous) (Q1); Physiology (Q1); Sports Science (Q1); Physiology (medical) (Q2)","15221601; 87507587","15221601","87507587"
"518",2215,"Journal of Translational Medicine","journal",1.482,"Q1",77,344,1142,16373,4324,1059,3.78,47.6,"United Kingdom","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","14795876","14795876",""
"519",2224,"Diabetes and Metabolism Journal","journal",1.478,"Q1",27,69,223,2154,669,170,3.95,31.22,"South Korea","Endocrinology, Diabetes and Metabolism (Q1)","22336087; 22336079","22336087","22336079"
"520",2225,"Environmental and Molecular Mutagenesis","journal",1.478,"Q1",74,67,219,3341,751,205,3.74,49.87,"United States","Health, Toxicology and Mutagenesis (Q1); Epidemiology (Q2); Genetics (clinical) (Q2)","08936692","08936692",""
"521",2228,"Nutrients","journal",1.476,"Q1",53,957,1297,47490,5522,1273,3.8,49.62,"Switzerland","Food Science (Q1)","20726643","20726643",""
"522",2230,"Toxicology and Applied Pharmacology","journal",1.476,"Q1",143,289,966,15761,4078,960,3.9,54.54,"United States","Pharmacology (Q1); Toxicology (Q1)","10960333; 0041008X","10960333","0041008X"
"523",2238,"Australian and New Zealand Journal of Psychiatry","journal",1.472,"Q1",91,203,763,3980,1243,313,3.9,19.61,"United States","Psychiatry and Mental Health (Q1)","14401614; 00048674","14401614","00048674"
"524",2244,"Transfusion","journal",1.47,"Q1",115,513,1471,13777,3598,1202,3.18,26.86,"United Kingdom","Hematology (Q1); Immunology and Allergy (Q1); Immunology (Q2)","15372995; 00411132","15372995","00411132"
"525",2249,"Oxidative Medicine and Cellular Longevity","journal",1.468,"Q1",45,642,774,43820,3370,743,4.41,68.26,"Egypt","Biochemistry (Q1); Aging (Q2); Cell Biology (Q2)","19420900; 19420994","19420900","19420994"
"526",2252,"BMC Bioinformatics","journal",1.467,"Q1",163,543,1893,20021,4726,1833,2.18,36.87,"United Kingdom","Applied Mathematics (Q1); Biochemistry (Q1); Computer Science Applications (Q1); Molecular Biology (Q2); Structural Biology (Q2)","14712105","14712105",""
"527",2257,"Future Microbiology","journal",1.465,"Q1",58,128,438,7142,1372,410,2.96,55.8,"United Kingdom","Microbiology (Q1); Microbiology (medical) (Q1)","17460921; 17460913","17460921","17460913"
"528",2258,"Expert Review of Vaccines","journal",1.464,"Q1",66,143,421,11331,1286,386,3.11,79.24,"United Kingdom","Drug Discovery (Q1); Molecular Medicine (Q1); Pharmacology (Q1); Immunology (Q2)","14760584","14760584",""
"529",2272,"American Journal of Physiology - Regulatory Integrative and Comparative Physiology","journal",1.462,"Q1",151,270,835,14724,2523,817,2.81,54.53,"United States","Physiology (Q1); Physiology (medical) (Q2)","03636119; 15221490","03636119","15221490"
"530",2281,"British Journal of Clinical Pharmacology","journal",1.46,"Q1",121,326,837,12400,2827,717,3.52,38.04,"United Kingdom","Pharmacology (Q1); Pharmacology (medical) (Q1)","03065251; 13652125","03065251","13652125"
"531",2284,"Journal of Hepato-Biliary-Pancreatic Sciences","journal",1.458,"Q1",71,93,383,2703,1112,342,2.69,29.06,"United States","Hepatology (Q1); Surgery (Q1)","18686974; 18686982","18686974","18686982"
"532",2286,"Parasites and Vectors","journal",1.458,"Q1",51,652,1672,31225,5343,1637,3.1,47.89,"United Kingdom","Infectious Diseases (Q1); Parasitology (Q1)","17563305","17563305",""
"533",2288,"Seminars in Fetal and Neonatal Medicine","journal",1.458,"Q1",71,61,199,3098,632,171,3.6,50.79,"Netherlands","Pediatrics, Perinatology and Child Health (Q1)","1744165X","1744165X",""
"534",2290,"International Journal of Neuropsychopharmacology","journal",1.457,"Q1",86,105,802,6042,2327,758,2.62,57.54,"United Kingdom","Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)","14695111; 14611457","14695111","14611457"
"535",2292,"Therapeutic Advances in Gastroenterology","journal",1.456,"Q1",32,70,119,3687,431,104,3.51,52.67,"United Kingdom","Gastroenterology (Q1)","1756283X; 17562848","1756283X","17562848"
"536",2294,"Mediators of Inflammation","journal",1.453,"Q2",65,407,1355,22755,4733,1297,3.18,55.91,"Egypt","Cell Biology (Q2); Immunology (Q2)","09629351; 14661861","09629351","14661861"
"537",2312,"Osteoporosis International","journal",1.447,"Q1",149,444,1081,15306,3544,931,3.45,34.47,"Germany","Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1)","0937941X; 14332965","0937941X","14332965"
"538",2316,"BMJ Open","journal",1.446,"Q1",47,1831,3555,70095,9508,3463,2.45,38.28,"United Kingdom","Medicine (miscellaneous) (Q1)","20446055","20446055",""
"539",2317,"Microbial Cell Factories","journal",1.446,"Q1",66,214,541,10574,2089,523,3.72,49.41,"United Kingdom","Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biotechnology (Q1)","14752859","14752859",""
"540",2328,"World Journal of Clinical Oncology","journal",1.439,"Q1",19,48,154,3388,609,154,3.95,70.58,"United States","Oncology (Q1)","22184333","22184333",""
"541",2338,"Clinical and Experimental Immunology","journal",1.435,"Q1",117,166,701,7737,2351,689,3.41,46.61,"United Kingdom","Immunology and Allergy (Q1); Immunology (Q2)","00099104; 13652249","00099104","13652249"
"542",2346,"Drug Metabolism and Disposition","journal",1.433,"Q1",150,231,742,9351,2805,715,4.05,40.48,"United States","Pharmaceutical Science (Q1); Pharmacology (Q1)","00909556; 1521009X","00909556","1521009X"
"543",2348,"Nature Reviews Urology","journal",1.433,"Q1",56,269,1071,6601,1280,343,3.57,24.54,"United Kingdom","Urology (Q1)","17594820; 17594812","17594820","17594812"
"544",2355,"European Child and Adolescent Psychiatry","journal",1.43,"Q1",75,151,409,6128,1069,337,3.13,40.58,"Germany","Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Philosophy (Q1); Psychiatry and Mental Health (Q1)","10188827; 1435165X","10188827","1435165X"
"545",2357,"Cancer Journal","journal",1.43,"Q1",65,22,84,997,248,72,2.67,45.32,"France","Oncology (Q1); Cancer Research (Q2)","15289117; 07657846","15289117","07657846"
"546",2366,"Pediatric Blood and Cancer","journal",1.426,"Q1",85,462,1440,10062,3198,1250,2.3,21.78,"United States","Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1); Pediatrics, Perinatology and Child Health (Q1)","15455017; 15455009","15455017","15455009"
"547",2374,"Orphanet Journal of Rare Diseases","journal",1.423,"Q1",77,169,638,6618,2049,593,2.92,39.16,"United Kingdom","Medicine (miscellaneous) (Q1); Pharmacology (medical) (Q1); Genetics (clinical) (Q2)","17501172","17501172",""
"548",2376,"Critical Reviews in Immunology","journal",1.422,"Q2",68,16,77,2420,206,77,2.36,151.25,"United States","Immunology (Q2)","10408401","10408401",""
"549",2382,"Immunologic Research","journal",1.42,"Q2",71,185,358,5884,1013,329,2.91,31.81,"United States","Immunology (Q2)","0257277X","0257277X",""
"550",2385,"Best Practice and Research in Clinical Gastroenterology","journal",1.419,"Q1",77,82,285,5122,996,236,4.18,62.46,"United Kingdom","Gastroenterology (Q1)","15216918","15216918",""
"551",2391,"Genes and Immunity","journal",1.417,"Q2",89,57,226,2666,534,214,2.52,46.77,"United Kingdom","Genetics (Q2); Genetics (clinical) (Q2); Immunology (Q2)","14664879; 14765470","14664879","14765470"
"552",2392,"Current Opinion in Gastroenterology","journal",1.417,"Q1",68,80,274,3480,906,258,3.52,43.5,"United States","Gastroenterology (Q1)","15317056; 02671379","15317056","02671379"
"553",2407,"Biotechnology and Bioengineering","journal",1.411,"Q1",157,293,864,12060,3497,828,4.35,41.16,"Germany","Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biotechnology (Q1)","10970290; 00063592","10970290","00063592"
"554",2422,"Journal of Oral Microbiology","journal",1.404,"Q1",20,23,55,1109,193,50,3.9,48.22,"United Kingdom","Dentistry (miscellaneous) (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1)","20002297","20002297",""
"555",2426,"Environmental Health: A Global Access Science Source","journal",1.402,"Q1",58,123,369,6061,1353,363,3.04,49.28,"United Kingdom","Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)","1476069X","1476069X",""
"556",2434,"Journal of Inflammation Research","journal",1.399,"Q1",15,24,52,1510,187,52,3.97,62.92,"New Zealand","Immunology and Allergy (Q1); Immunology (Q2)","11787031","11787031",""
"557",2435,"Pediatric Research","journal",1.398,"Q1",125,261,655,10110,1883,626,2.79,38.74,"United States","Pediatrics, Perinatology and Child Health (Q1)","00313998; 15300447","00313998","15300447"
"558",2441,"Cancer Microenvironment","journal",1.397,"Q1",30,16,61,829,186,59,2.97,51.81,"Germany","Oncology (Q1); Cancer Research (Q2)","18752292; 18752284","18752292","18752284"
"559",2442,"Toxicology","journal",1.397,"Q1",130,167,541,8659,2092,520,3.66,51.85,"Netherlands","Toxicology (Q1)","0300483X","0300483X",""
"560",2443,"Acta Pharmaceutica Sinica B","journal",1.396,"Q1",13,88,73,3746,363,71,5.11,42.57,"Netherlands","Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)","22113835; 22113843","22113835","22113843"
"561",2456,"Environmental Research","journal",1.394,"Q1",102,439,850,23754,3483,818,4.17,54.11,"United States","Biochemistry (Q1); Environmental Science (miscellaneous) (Q1)","10960953; 00139351","10960953","00139351"
"562",2460,"Molecules and Cells","journal",1.391,"Q2",60,80,421,3552,1202,392,3.18,44.4,"Germany","Cell Biology (Q2); Molecular Biology (Q2)","02191032; 10168478","02191032","10168478"
"563",2465,"Journal of Obesity","journal",1.389,"Q1",34,47,233,2009,710,222,2.51,42.74,"Egypt","Endocrinology, Diabetes and Metabolism (Q1)","20900708; 20900716","20900708","20900716"
"564",2474,"OncoImmunology","journal",1.386,"Q1",42,480,886,20412,2727,842,3.45,42.53,"United States","Immunology and Allergy (Q1); Oncology (Q1); Immunology (Q2)","2162402X; 21624011","2162402X","21624011"
"565",2483,"Journal of Immunology Research","journal",1.384,"Q1",50,230,883,14624,2852,841,3.36,63.58,"Egypt","Immunology and Allergy (Q1); Immunology (Q2)","23147156; 23148861","23147156","23148861"
"566",2485,"Physiological Genomics","journal",1.383,"Q2",94,94,265,5194,722,252,2.93,55.26,"United States","Genetics (Q2); Physiology (Q2)","15312267; 10948341","15312267","10948341"
"567",2486,"Journal of Proteomics","journal",1.383,"Q1",78,377,1107,21898,4393,1059,4.02,58.08,"Netherlands","Biochemistry (Q1); Biophysics (Q1)","18743919","18743919",""
"568",2492,"Current Neuropharmacology","journal",1.382,"Q1",47,122,162,12968,644,142,3.42,106.3,"United Arab Emirates","Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1); Neurology (Q2)","1570159X; 18756190","1570159X","18756190"
"569",2505,"British Medical Bulletin","journal",1.377,"Q1",94,53,139,3202,517,128,3.32,60.42,"United Kingdom","Medicine (miscellaneous) (Q1)","00071420; 14718391","00071420","14718391"
"570",2507,"Current Psychiatry Reports","journal",1.377,"Q1",57,137,387,8425,1174,379,2.95,61.5,"United States","Psychiatry and Mental Health (Q1)","15233812; 15351645","15233812","15351645"
"571",2514,"Nutrition Journal","journal",1.374,"Q1",58,101,432,4703,1541,410,3.25,46.56,"United Kingdom","Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)","14752891","14752891",""
"572",2515,"Cellular Physiology and Biochemistry","journal",1.374,"Q2",71,595,1264,26985,6039,1236,5.37,45.35,"Switzerland","Physiology (Q2)","14219778; 10158987","14219778","10158987"
"573",2518,"Cancer Research and Treatment","journal",1.372,"Q1",22,162,219,3632,821,214,3.82,22.42,"South Korea","Oncology (Q1); Cancer Research (Q2)","15982998","15982998",""
"574",2524,"Neurochemistry International","journal",1.37,"Q2",102,207,520,10478,1938,511,3.39,50.62,"Netherlands","Cell Biology (Q2); Cellular and Molecular Neuroscience (Q2)","01970186","01970186",""
"575",2539,"Organic and Biomolecular Chemistry","journal",1.363,"Q1",120,1196,3529,66888,11927,3474,3.5,55.93,"United Kingdom","Biochemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)","14770539; 14770520","14770539","14770520"
"576",2549,"International Journal for Parasitology: Parasites and Wildlife","journal",1.36,"Q1",15,43,144,2482,399,129,2.96,57.72,"Netherlands","Animal Science and Zoology (Q1); Infectious Diseases (Q1); Parasitology (Q1)","22132244","22132244",""
"577",2550,"Cytokine","journal",1.36,"Q1",96,279,828,11366,2535,796,3.44,40.74,"United States","Biochemistry (Q1); Hematology (Q1); Immunology and Allergy (Q1); Immunology (Q2); Molecular Biology (Q2)","10960023; 10434666","10960023","10434666"
"578",2556,"American Journal of Reproductive Immunology","journal",1.358,"Q1",80,133,385,5862,1055,357,2.97,44.08,"United Kingdom","Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Immunology (Q2); Immunology and Allergy (Q2)","10467408","10467408",""
"579",2560,"Biology","journal",1.356,"Q1",19,53,160,5089,479,157,2.98,96.02,"Switzerland","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q2)","20797737","20797737",""
"580",2568,"Journal of Veterinary Internal Medicine","journal",1.354,"Q1",83,262,685,7302,1388,635,2.01,27.87,"United States","Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)","08916640","08916640",""
"581",2569,"Current Opinion in Nephrology and Hypertension","journal",1.354,"Q1",80,85,289,4634,924,273,3.53,54.52,"United States","Internal Medicine (Q1); Nephrology (Q1)","10624821; 14736543","10624821","14736543"
"582",2584,"Current Opinion in Endocrinology, Diabetes and Obesity","journal",1.35,"Q1",53,70,261,3737,869,229,4.04,53.39,"United States","Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1); Endocrinology (Q2)","1752296X","1752296X",""
"583",2602,"Prostaglandins Leukotrienes and Essential Fatty Acids","journal",1.345,"Q1",91,98,272,4158,818,255,2.78,42.43,"United States","Clinical Biochemistry (Q1); Cell Biology (Q2)","09523278","09523278",""
"584",2603,"Social Neuroscience","journal",1.345,"Q1",52,99,172,3495,447,160,2.52,35.3,"United Kingdom","Development (Q1); Social Psychology (Q1); Behavioral Neuroscience (Q2)","17470927; 17470919","17470927","17470919"
"585",2619,"BioFactors","journal",1.341,"Q1",76,62,171,3506,672,165,3.27,56.55,"United States","Biochemistry (Q1); Clinical Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Medicine (Q2)","09516433","09516433",""
"586",2632,"Archives of Biochemistry and Biophysics","journal",1.336,"Q1",145,301,783,18014,2234,751,3.16,59.85,"United States","Biochemistry (Q1); Biophysics (Q1); Molecular Biology (Q2)","00039861; 10960384","00039861","10960384"
"587",2636,"Molecular Medicine","journal",1.335,"Q2",98,85,251,4478,726,238,2.97,52.68,"United States","Genetics (Q2); Genetics (clinical) (Q2); Molecular Biology (Q2); Molecular Medicine (Q2)","15283658; 10761551","15283658","10761551"
"588",2643,"Diabetes Technology and Therapeutics","journal",1.335,"Q1",70,238,844,3604,1208,394,3.3,15.14,"United States","Endocrinology, Diabetes and Metabolism (Q1); Medical Laboratory Technology (Q1); Medicine (miscellaneous) (Q1); Endocrinology (Q2)","15209156","15209156",""
"589",2658,"Glycobiology","journal",1.33,"Q1",110,100,395,4890,1097,383,2.79,48.9,"United Kingdom","Biochemistry (Q1)","14602423; 09596658","14602423","09596658"
"590",2663,"BMC Public Health","journal",1.328,"Q1",93,1247,4249,55627,10632,4135,2.18,44.61,"United Kingdom","Public Health, Environmental and Occupational Health (Q1)","14712458","14712458",""
"591",2666,"Veterinary Microbiology","journal",1.326,"Q1",104,316,1289,9413,3354,1212,2.67,29.79,"Netherlands","Veterinary (miscellaneous) (Q1); Microbiology (Q2)","03781135","03781135",""
"592",2674,"Food and Chemical Toxicology","journal",1.322,"Q1",131,385,1614,18319,6317,1506,3.92,47.58,"Netherlands","Food Science (Q1); Toxicology (Q1)","02786915","02786915",""
"593",2680,"Clinical and Translational Gastroenterology","journal",1.32,"Q1",16,17,98,672,270,95,2.33,39.53,"United Kingdom","Gastroenterology (Q1)","2155384X","2155384X",""
"594",2685,"Mammalian Genome","journal",1.319,"Q2",88,63,171,4023,386,161,2.59,63.86,"Germany","Genetics (Q2)","09388990; 14321777","09388990","14321777"
"595",2687,"Journal of Molecular Signaling","journal",1.317,"Q2",25,5,30,297,82,28,1.13,59.4,"United Kingdom","Biochemistry (Q2); Cell Biology (Q2); Molecular Biology (Q2)","17502187","17502187",""
"596",2694,"Dermato-Endocrinology","journal",1.315,"Q1",26,6,50,458,219,50,2.09,76.33,"United States","Dermatology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","19381980; 19381972","19381980","19381972"
